2025-11-28T15:33:37.684220Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 20.08, 'timestamp': '2025-11-28T15:33:37.681209Z'}
2025-11-28T15:35:42.765002Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 28.68, 'timestamp': '2025-11-28T15:35:42.764486Z'}
2025-11-28T15:35:47.769969Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 29.05, 'timestamp': '2025-11-28T15:35:47.769969Z'}
2025-11-28T15:35:52.774044Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 24.17, 'timestamp': '2025-11-28T15:35:52.772937Z'}
2025-11-28T15:35:57.776133Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 20.14, 'timestamp': '2025-11-28T15:35:57.776133Z'}
2025-11-28T15:36:02.780928Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 22.41, 'timestamp': '2025-11-28T15:36:02.778904Z'}
2025-11-28T15:36:07.786147Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 29.7, 'timestamp': '2025-11-28T15:36:07.785543Z'}
2025-11-28T15:36:12.787623Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 25.79, 'timestamp': '2025-11-28T15:36:12.787623Z'}
2025-11-28T15:36:17.788862Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 28.18, 'timestamp': '2025-11-28T15:36:17.788862Z'}
2025-11-28T15:36:22.792367Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 26.19, 'timestamp': '2025-11-28T15:36:22.791320Z'}
2025-11-28T15:36:27.795884Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 23.17, 'timestamp': '2025-11-28T15:36:27.795884Z'}
2025-11-28T15:36:32.798564Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 20.61, 'timestamp': '2025-11-28T15:36:32.798564Z'}
2025-11-28T15:36:37.801230Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 20.24, 'timestamp': '2025-11-28T15:36:37.801230Z'}
2025-11-28T15:36:42.804837Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 24.43, 'timestamp': '2025-11-28T15:36:42.803829Z'}
2025-11-28T15:36:47.807690Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 22.37, 'timestamp': '2025-11-28T15:36:47.807187Z'}
2025-11-28T15:36:52.810480Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 26.67, 'timestamp': '2025-11-28T15:36:52.808441Z'}
2025-11-28T15:36:57.819957Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 24.42, 'timestamp': '2025-11-28T15:36:57.819957Z'}
2025-11-28T15:37:02.822514Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 22.52, 'timestamp': '2025-11-28T15:37:02.822514Z'}
