{'received_at': '2025-11-28T15:33:37.681209Z', 'topic': 'sensors/people_counter', 'payload': {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 35, 'timestamp': '2025-11-28T15:33:37.681209Z'}}
{'received_at': '2025-11-28T15:34:17.711973Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 29.98, 'timestamp': '2025-11-28T15:34:17.710920Z'}}
{'received_at': '2025-11-28T15:34:19.701947Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 71.72, 'timestamp': '2025-11-28T15:34:19.700932Z'}}
{'received_at': '2025-11-28T15:34:22.715125Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 22.3, 'timestamp': '2025-11-28T15:34:22.715125Z'}}
{'received_at': '2025-11-28T15:34:26.704571Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 76.32, 'timestamp': '2025-11-28T15:34:26.704571Z'}}
{'received_at': '2025-11-28T15:34:27.701687Z', 'topic': 'sensors/people_counter', 'payload': {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 37, 'timestamp': '2025-11-28T15:34:27.701178Z'}}
{'received_at': '2025-11-28T15:34:27.717347Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 24.31, 'timestamp': '2025-11-28T15:34:27.716316Z'}}
{'received_at': '2025-11-28T15:34:32.720681Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 28.48, 'timestamp': '2025-11-28T15:34:32.720681Z'}}
{'received_at': '2025-11-28T15:34:33.707603Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 56.6, 'timestamp': '2025-11-28T15:34:33.706588Z'}}
{'received_at': '2025-11-28T15:34:37.703841Z', 'topic': 'sensors/people_counter', 'payload': {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 24, 'timestamp': '2025-11-28T15:34:37.703334Z'}}
{'received_at': '2025-11-28T15:34:37.723067Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 26.42, 'timestamp': '2025-11-28T15:34:37.722561Z'}}
{'received_at': '2025-11-28T15:34:40.708880Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 62.55, 'timestamp': '2025-11-28T15:34:40.708880Z'}}
{'received_at': '2025-11-28T15:34:42.725451Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 20.19, 'timestamp': '2025-11-28T15:34:42.725451Z'}}
{'received_at': '2025-11-28T15:34:47.707473Z', 'topic': 'sensors/people_counter', 'payload': {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 44, 'timestamp': '2025-11-28T15:34:47.705427Z'}}
{'received_at': '2025-11-28T15:34:47.713341Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 77.17, 'timestamp': '2025-11-28T15:34:47.712305Z'}}
{'received_at': '2025-11-28T15:34:47.727369Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 21.81, 'timestamp': '2025-11-28T15:34:47.726862Z'}}
{'received_at': '2025-11-28T15:34:52.729688Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 20.15, 'timestamp': '2025-11-28T15:34:52.729688Z'}}
{'received_at': '2025-11-28T15:34:54.717260Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 39.5, 'timestamp': '2025-11-28T15:34:54.717260Z'}}
{'received_at': '2025-11-28T15:34:57.710025Z', 'topic': 'sensors/people_counter', 'payload': {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 47, 'timestamp': '2025-11-28T15:34:57.710025Z'}}
{'received_at': '2025-11-28T15:34:57.732115Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 27.81, 'timestamp': '2025-11-28T15:34:57.732115Z'}}
{'received_at': '2025-11-28T15:35:01.719858Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 45.58, 'timestamp': '2025-11-28T15:35:01.718815Z'}}
{'received_at': '2025-11-28T15:35:02.735430Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 26.24, 'timestamp': '2025-11-28T15:35:02.734413Z'}}
{'received_at': '2025-11-28T15:35:07.713400Z', 'topic': 'sensors/people_counter', 'payload': {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 43, 'timestamp': '2025-11-28T15:35:07.711801Z'}}
{'received_at': '2025-11-28T15:35:07.738088Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 22.16, 'timestamp': '2025-11-28T15:35:07.737069Z'}}
{'received_at': '2025-11-28T15:35:08.723823Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 76.26, 'timestamp': '2025-11-28T15:35:08.723319Z'}}
{'received_at': '2025-11-28T15:35:12.743063Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 28.77, 'timestamp': '2025-11-28T15:35:12.742030Z'}}
{'received_at': '2025-11-28T15:35:15.726628Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 49.93, 'timestamp': '2025-11-28T15:35:15.725583Z'}}
{'received_at': '2025-11-28T15:35:17.717352Z', 'topic': 'sensors/people_counter', 'payload': {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 49, 'timestamp': '2025-11-28T15:35:17.715800Z'}}
{'received_at': '2025-11-28T15:35:17.746652Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 21.19, 'timestamp': '2025-11-28T15:35:17.746652Z'}}
{'received_at': '2025-11-28T15:35:22.731579Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 44.64, 'timestamp': '2025-11-28T15:35:22.730534Z'}}
{'received_at': '2025-11-28T15:35:22.750364Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 28.37, 'timestamp': '2025-11-28T15:35:22.748320Z'}}
{'received_at': '2025-11-28T15:35:27.723787Z', 'topic': 'sensors/people_counter', 'payload': {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 18, 'timestamp': '2025-11-28T15:35:27.722752Z'}}
{'received_at': '2025-11-28T15:35:27.754927Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 26.73, 'timestamp': '2025-11-28T15:35:27.753910Z'}}
{'received_at': '2025-11-28T15:35:29.733952Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 70.41, 'timestamp': '2025-11-28T15:35:29.733952Z'}}
{'received_at': '2025-11-28T15:35:32.759353Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 20.59, 'timestamp': '2025-11-28T15:35:32.757709Z'}}
{'received_at': '2025-11-28T15:35:36.737556Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 54.53, 'timestamp': '2025-11-28T15:35:36.736537Z'}}
{'received_at': '2025-11-28T15:35:37.727380Z', 'topic': 'sensors/people_counter', 'payload': {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 23, 'timestamp': '2025-11-28T15:35:37.727380Z'}}
{'received_at': '2025-11-28T15:35:37.762896Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 22.12, 'timestamp': '2025-11-28T15:35:37.762896Z'}}
{'received_at': '2025-11-28T15:35:42.765002Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 28.68, 'timestamp': '2025-11-28T15:35:42.764486Z'}}
{'received_at': '2025-11-28T15:35:43.740636Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 68.18, 'timestamp': '2025-11-28T15:35:43.739619Z'}}
{'received_at': '2025-11-28T15:35:47.732508Z', 'topic': 'sensors/people_counter', 'payload': {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 0, 'timestamp': '2025-11-28T15:35:47.729459Z'}}
{'received_at': '2025-11-28T15:35:47.769969Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 29.05, 'timestamp': '2025-11-28T15:35:47.769969Z'}}
{'received_at': '2025-11-28T15:35:50.745142Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 53.7, 'timestamp': '2025-11-28T15:35:50.743604Z'}}
{'received_at': '2025-11-28T15:35:52.774044Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 24.17, 'timestamp': '2025-11-28T15:35:52.772937Z'}}
{'received_at': '2025-11-28T15:35:57.738208Z', 'topic': 'sensors/people_counter', 'payload': {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 17, 'timestamp': '2025-11-28T15:35:57.737144Z'}}
{'received_at': '2025-11-28T15:35:57.748063Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 83.3, 'timestamp': '2025-11-28T15:35:57.747023Z'}}
{'received_at': '2025-11-28T15:35:57.776133Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 20.14, 'timestamp': '2025-11-28T15:35:57.776133Z'}}
{'received_at': '2025-11-28T15:36:02.780928Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 22.41, 'timestamp': '2025-11-28T15:36:02.778904Z'}}
{'received_at': '2025-11-28T15:36:04.752303Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 42.93, 'timestamp': '2025-11-28T15:36:04.752303Z'}}
{'received_at': '2025-11-28T15:36:07.741706Z', 'topic': 'sensors/people_counter', 'payload': {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 17, 'timestamp': '2025-11-28T15:36:07.741706Z'}}
{'received_at': '2025-11-28T15:36:07.786147Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 29.7, 'timestamp': '2025-11-28T15:36:07.785543Z'}}
{'received_at': '2025-11-28T15:36:11.756613Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 38.66, 'timestamp': '2025-11-28T15:36:11.755597Z'}}
{'received_at': '2025-11-28T15:36:12.787623Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 25.79, 'timestamp': '2025-11-28T15:36:12.787623Z'}}
{'received_at': '2025-11-28T15:36:17.745270Z', 'topic': 'sensors/people_counter', 'payload': {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 49, 'timestamp': '2025-11-28T15:36:17.745270Z'}}
{'received_at': '2025-11-28T15:36:17.788862Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 28.18, 'timestamp': '2025-11-28T15:36:17.788862Z'}}
{'received_at': '2025-11-28T15:36:18.757769Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 72.93, 'timestamp': '2025-11-28T15:36:18.757769Z'}}
{'received_at': '2025-11-28T15:36:22.792367Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 26.19, 'timestamp': '2025-11-28T15:36:22.791320Z'}}
{'received_at': '2025-11-28T15:36:25.760318Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 31.45, 'timestamp': '2025-11-28T15:36:25.759681Z'}}
{'received_at': '2025-11-28T15:36:27.748976Z', 'topic': 'sensors/people_counter', 'payload': {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 11, 'timestamp': '2025-11-28T15:36:27.747828Z'}}
{'received_at': '2025-11-28T15:36:27.795884Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 23.17, 'timestamp': '2025-11-28T15:36:27.795884Z'}}
{'received_at': '2025-11-28T15:36:32.762131Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 36.95, 'timestamp': '2025-11-28T15:36:32.762131Z'}}
{'received_at': '2025-11-28T15:36:32.798564Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 20.61, 'timestamp': '2025-11-28T15:36:32.798564Z'}}
{'received_at': '2025-11-28T15:36:37.755996Z', 'topic': 'sensors/people_counter', 'payload': {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 24, 'timestamp': '2025-11-28T15:36:37.754978Z'}}
{'received_at': '2025-11-28T15:36:37.801230Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 20.24, 'timestamp': '2025-11-28T15:36:37.801230Z'}}
{'received_at': '2025-11-28T15:36:39.765116Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 47.85, 'timestamp': '2025-11-28T15:36:39.765116Z'}}
{'received_at': '2025-11-28T15:36:42.804837Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 24.43, 'timestamp': '2025-11-28T15:36:42.803829Z'}}
{'received_at': '2025-11-28T15:36:46.769436Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 77.19, 'timestamp': '2025-11-28T15:36:46.768925Z'}}
{'received_at': '2025-11-28T15:36:47.759064Z', 'topic': 'sensors/people_counter', 'payload': {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 6, 'timestamp': '2025-11-28T15:36:47.759064Z'}}
{'received_at': '2025-11-28T15:36:47.807690Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 22.37, 'timestamp': '2025-11-28T15:36:47.807187Z'}}
{'received_at': '2025-11-28T15:36:52.810480Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 26.67, 'timestamp': '2025-11-28T15:36:52.808441Z'}}
{'received_at': '2025-11-28T15:36:53.771704Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 51.67, 'timestamp': '2025-11-28T15:36:53.770685Z'}}
{'received_at': '2025-11-28T15:36:57.761443Z', 'topic': 'sensors/people_counter', 'payload': {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 43, 'timestamp': '2025-11-28T15:36:57.760396Z'}}
{'received_at': '2025-11-28T15:36:57.819957Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 24.42, 'timestamp': '2025-11-28T15:36:57.819957Z'}}
{'received_at': '2025-11-28T15:37:00.775915Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 57.45, 'timestamp': '2025-11-28T15:37:00.775229Z'}}
{'received_at': '2025-11-28T15:37:02.822514Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 22.52, 'timestamp': '2025-11-28T15:37:02.822514Z'}}
